Country Name,Country Code,Indicator Name,Indicator Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2010-2011 [YR2010-2011],2011 [YR2011],2012 [YR2012],2013 [YR2013],2013-2014 [YR2013-2014],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Bangladesh,BGD,Logistics performance index - customs [rank],LP.LPI.OVRL.RANK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,125,..,..,90,..,..,..,..,..,138,..,82
Bangladesh,BGD,"Mortality caused by road traffic injury (per 100,000 people)",EST.ROAD.TRAF.DTH.100G,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,..,..,..,..
Bangladesh,BGD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.232,..,82.696,82.805,88.33,..,87.035,89.393,..
Bangladesh,BGD,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,..
Bangladesh,BGD,Quality of air transport infrastructure [rank],QA.AIR.TRANS.IN.RANK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,113,121,118,116,117,..,117,120,125,..,127,121,..
Bangladesh,BGD,Quality of air transport infrastructure [value: 1 = worst to 7 = best],QA.AIR.TRANS.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.75,3,3.38,3.39,3.5,..,3.55,3.46,3.22,..,3.02,3.16,..
Bangladesh,BGD,Quality of port infrastructure [rank],QA.PORT.TRANS.IN.RANK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93,121,121,113,107,..,113,121,104,..,93,93,..
Bangladesh,BGD,Quality of port infrastructure [value: 1 = worst to 7 = best],QA.PORT.TRANS.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.52,2.4,2.57,2.98,3.39,..,3.36,3.27,3.54,..,3.68,3.56,..
Bangladesh,BGD,Quality of railroad infrastructure [rank],QA.RAIL.TRANS.IN.RANK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65,71,..,..,73,78,..,75,75,..
Bangladesh,BGD,Quality of railroad infrastructure [value: 1 = worst to 7 = best],QA.RAIL.TRANS.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.33,2.45,..,2.5,2.48,2.44,..,2.39,2.5,..
Bangladesh,BGD,Quality of roads [rank],QA.ROAD.TRANS.IN.RANK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72,83,93,95,100,..,111,113,118,..,117,113,..
Bangladesh,BGD,Quality of roads [value: 1 = worst to 7 = best],QA.ROAD.TRANS.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.1,3.06,2.84,2.91,3,..,2.92,2.8,2.8,..,2.88,2.9,..
Bangladesh,BGD,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5197,5366,6427,6284,6031,6005,6027,5052,4338,5070,4587,5348,5112,4570,4037,3333,3754,3855,3678,3941,3941,4209,3971,4024,4341,4340,4164,4164,5609,5609,7305,..,7305,7305,7305,..,7305,..,..
Bangladesh,BGD,Total world transport-related GHG emissions (million tonnes),EN.CO2.TRAN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.2,..,..,..,..
